rubric,source,link,title
Главное,Lenta.ru,https://dzen.ru/news/story/c80e40ec-1e7e-5aaa-90a9-8d8d9c1eef79?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776499109&cl4url=b5d0169dd7169ca5e2ac52f6569fa12c&story=0c0e0735-184b-52ec-b951-3c22b9ef0fa2,Российские войска разбомбили «Искандером» штаб ВСУ в Харьковской области
,Газета.Ru,https://dzen.ru/news/story/5e5a2c51-d3af-5fa0-9e03-7434e2879105?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776492600&cl4url=7c5544e7ceabb79fe1d940646745270d&story=d7a0b7d9-bf1a-5bed-8361-2bfc53d2f6d6,Болгария хочет получить от «Газпрома» €400 млн за полную остановку поставок газа
Главное,other sorces,https://dzen.ruhttps://dzen.ru/news/story/7d4b80e2-542c-5c72-9eaf-f01c6017999f?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776497479&cl4url=2555279d64df22a72d1a02ad6ee606bd&story=63c3a03a-445f-5e5b-8ba4-2ec7a45e9f6e,Зеленский возложил на весь мир ответственность за ситуацию в Харьковской области
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/6153c79b-95c4-5560-9821-037ce5de6e1f?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776501760&cl4url=2d03c61b378903cc0dca7fe49220ad67&story=ea94690f-e2fb-5eab-bb44-0496fbd6f06a,
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/fd4640e2-7be6-5233-a24c-88355d81b735?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776497957&cl4url=db2412733e3ec6b145e2892b98858669&story=401ff527-9f21-5184-af8c-6080ace20e09,МИД РФ выслал атташе по вопросам обороны при посольстве Великобритании
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/de76a654-5323-538a-93cc-f5bb96ce4ecf?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776498964&cl4url=114226f892cae913d9b755fd0f7c76cf&story=fe1b5146-8673-5965-a63d-8cfbd1cd5ffa,
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/6d4122bd-62b1-5bdc-b7d1-48a4b0dfe24d?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776493989&cl4url=95c81eb86f5c02b37f52ade8ae820b83&story=3df94a7b-2f20-515e-836f-99aa4b8b01b9,"МО РФ: морская авиация уничтожила еще один дрон ВСУ, двигавшийся на Крым"
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/cc6e1920-f717-5f3c-b015-aaeb17ebc1af?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776493397&cl4url=2b0c5f884de126c89d2217e10ebe4f26&story=4b8cd1a3-8511-5d26-9406-ae514b841591,
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/fb6b1415-9eb4-5e9d-ab7f-7b3a3d09c77c?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776496150&cl4url=c98bbfc18fb5708e72f3b1a7e152d82c&story=ae68b6f9-346a-52fa-bb8d-c251cc928c3c,Медведев назвал поездку главы Украины Зеленского в Харьков прощальным визитом
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/e0cb4e3f-b6a2-558c-b494-137b765a5a2b?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776492961&cl4url=3352f993a84efeda015f6c830feb3abd&story=05923033-1079-5720-ba98-f748edb2669d,
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/2dd8589b-9588-5c71-86f3-fee1ec5d66a7?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776498037&cl4url=22113d28c205867d8fc60989e3aa8520&story=eef53d5c-a9e2-58ca-a2c0-25786f357e6f,Глава МВД Словакии рассказал о мотивах стрелявшего в премьера Фицо
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/cfb48d73-9636-58b7-8456-4003f5ec8aa1?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776501484&cl4url=0a015d3cc85151ff26e5515d487dd67c&story=122eb0b1-3dd8-51ff-b9d0-2ed72db96def,
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/c1e65d9f-de65-5ad1-ad91-793fb8b96d29?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776501439&cl4url=34820915ec1cd3202bf86568f87189bc&story=79fb0f5c-412c-55b6-a07e-8ab4f4ef0cdd,Генпрокуратура подала в суд на Ходорковского и Сибирскую лизинговую компанию
